title,url,gist1,gist2,gist3,gist4,gist5
Government takes digital route to speed up land acquisition,http://timesofindia.indiatimes.com/india/government-takes-digital-route-to-speed-up-land-acquisition/articleshow/58952662.cms,The process of acquiring land for highway projects is set to get shorter by at least six months.,"Quicker land acquisitions will accelerate road construction, which is one of the main focus areas of the Narendra Modi government for pushing infrastructure development and creating jobs as well.",The ministry has already held workshops with officials of Rajasthan and Uttar Pradesh to sensitise them about the new scheme of things aimed at expediting the process.,"NHAI, road transport ministry and its new wing NHIDCL, (which undertaking works in north-east and Jammu and Kashmir) are the biggest land procurers.",The speed of acqusition is likely to increase as the government plans to roll out another mega highway development programme named Bharat Mala.
CBI books one of its own for issuing fake ID cards,http://timesofindia.indiatimes.com/india/cbi-books-one-of-its-own-for-issuing-fake-id-cards/articleshow/58952674.cms,"The CBI has unearthed a racket involving one of its clerks who, along with two others, was allegedly issuing fake identification cards of the agency to people.","The racket allegedly involved Gulzari Lal, a clerk with the CBI, a canteen operator in Lok Nayak Bhavan identified as 'Yadav' and a woman called 'Mami'.","The agency uncovered the activities of the gang during its probe into another bribery case in which its DSP Neeraj Agarwal was allegedly involved, the CBI FIR claimed.",He told the agency that he came in contact with Lal through a canteen operator called 'Yadav' in Lok Nayak Bhavan.,"Apparently, the two persons are part of a racket involved in preparing fake identity cards of the CBI and misuse of the same,"" the FIR said."
"EC gets 14 EVMs from UP, Punjab, Uttarakhand for hacking challenge",http://timesofindia.indiatimes.com/india/ec-gets-14-evms-from-up-punjab-uttarakhand-for-hacking-challenge/articleshow/58952177.cms,"Set to conduct the EVM challenge on June 3, the Election Commission has brought in 14 electronic voting machines (EVMs) used in the recent UP, Uttarakhand and Punjab polls to allow challengers like NCP to demonstrate possible tampering.",The EC on Thursday shared details of the polling stations from where the EVMs have been sourced for the June 3 challenge.,"While BJP, CPI and Rashtriya Lok Dal evinced interest in observing the EVM challenge, AAP and Congress raised certain issues regarding the modalities.","RJD also wrote to EC volunteering to participate but as the application was received at 5.39 pm on Friday, it was held as ""not entertainable"" due to late submission.","All India NR Congress, a recognised state party in Puducherry, expressly declined to be part of the challenge."
"Philippines: Explosions, gunshots heard at resort in Manila",http://timesofindia.indiatimes.com/world/rest-of-world/explosions-gunshots-heard-at-resort-in-manila/articleshow/58951989.cms,"Explosions and gunshots were heard at a resort in the Philippines capital Manila early on Friday and armed police were deployed to the scene, local media reported.",Police and fire services could not immediately be reached for comment.,"Pictures circulated on social media of the resort, close to the city's airport, of plumes of smoke pouring out of a building.",A source at one of the resorts told Reuters employees were being evacuated and declined to give more details.,He said police were now in full control of the situation.
Donald Trump: Donald Trump poised to announce decision on global climate deal,http://timesofindia.indiatimes.com/home/environment/global-warming/donald-trump-poised-to-announce-decision-on-global-climate-deal/articleshow/58951756.cms,"President Donald Trump will on Thursday announce his decision on whether to keep the United States in a landmark global pact to fight climate change, after a source close to the matter said he was preparing to pull out of the Paris accord.","The source, speaking on condition of anonymity, said on Wednesday Trump was favoring an exit and was working out terms of the planned withdrawal with US Environmental Protection Agency Administrator Scott Pruitt, an oil industry ally and climate change doubter.","At their meeting last month, the pope gave Trump a signed copy of his 2015 encyclical letter calling for protecting the environment from the effects of climate change and backed scientific evidence that it is caused by human activity.","Last year was the warmest since records began in the 19th century, as global average temperatures continued a rise dating back decades that leading climate scientists attribute to man-made greenhouse gas emissions that trap heat in the atmosphere.","China, which overtook the United States as the world's biggest emitter of greenhouse gases in 2007, and the European Union will seek on Friday to save the Paris agreement, with Li meeting top EU officials in Brussels."
Joe Root: Favourites England stroll past Bangladesh in Champions Trophy opener,http://timesofindia.indiatimes.com/sports/cricket/champions-trophy-2017/top-stories/favourites-england-stroll-past-bangladesh-in-champions-trophy-opener/articleshow/58950779.cms,Joe Root breezed to his 10th ODI hundred as title favourites England began their tournament campaign with an eight-wicket thrashing of Bangladesh in the Champions Trophy opener on Thursday.,"Besides Root (133 not out off 129), contributions from opener Alex Hales (95 off 86) and captain Eoin Morgan (75 not out off 61) helped England chase down the 306-run target in 47.2 overs.","England, who came into the tournament at the back of a series win against South Africa, were expected to overhaul the target comfortably at the Kennington Oval.","Earlier, courtesy Tamim's ninth ODI hundred and a 166- run partnership for the third wicket with Mushfiqur Rahim (79 off 72), Bangladesh shrugged off the disappointment of a batting debacle against India in the practice game.",It seemed that Bangladesh would get close to 330 but England fought back through Liam Plunkett who dismissed Tamim and Rahim off successive balls in the 45th over.
"India ""unhappy"" with Edgbaston practice facility",http://timesofindia.indiatimes.com/sports/cricket/champions-trophy-2017/top-stories/champions-trophy-india-unhappy-with-edgbaston-practice-facility/articleshow/58951024.cms,The Indian cricket team today were unhappy with practice facilities at the Edgbaston Cricket Ground with both coach Anil Kumble and skipper Virat Kohli expressing their displeasure with the local authorities.,Thursday was India's first training day in Birmingham ground and they were allocated the practice arena adjacent to main stadium.,"It was learnt that the likes of Umesh Yadav, Mohammed Shami and Hardik Pandya, all of whom have a 30-yard run-up, couldn't bowl full tilt at the nets as the distance wasn't big enough.",This irked the captain and the coach as they sent feelers through manager Kapil Malhotra to sort the issue out with Warwickshire (local county) authorities.,"The Pakistan team also practised at the same ground but since they have been camping in Birmingham for the past week, have had access to the main practice arena."
GSLV-Mark III set for June 5 launch: Isro,http://timesofindia.indiatimes.com/india/gslv-mark-iii-set-for-june-5-launch-isro/articleshow/58950292.cms,"As the countdown is set to begin on Sunday for the launch of Geosynchronous Satellite Launch Vehicle (GSLV)-Mark III on June 5, ISRO centres here behind the design of the launch vehicle indicate that it is the first possible human-rated vehicle with its benign design features for future manned mission including its large payload, technology and unique shape to check noise.","But, we prefer not to talk about manned mission now when it is yet to be approved by the government,"" ISRO chairman AS Kiran Kumar told TOI.","Primarily, the focus of this first developmental flight of GSLV-MK III (D1) set for launch on June 5 is to put a higher communication satellite GSAT-19 of 4.2 tons in geosynchronous transfer orbit (GTO), he said.","It may be noted that the term `human-rated' certifies a spacecraft, launch vehicle or airplane as worthy of transporting humans.",GSLV project director G Ayyappan also indicated that it is for the first time that a launch vehicle is designed with Ogive shaped curvature to able to control the air pressure and to check noise with its acoustic suppression system.
"Bihar Class 12 topper gets 65 out of 70 in music practicals, but fails to answer basic questions",http://timesofindia.indiatimes.com/india/bihar-class-12-topper-gets-65-out-of-70-in-music-practicals-but-fails-to-answer-basic-questions/articleshow/58950013.cms,"Last year, Ruby Rai said ""prodigal science"" is about cooking and this time too, Bihar's Class XII topper in humanities struggled to explain the basics of music, one of his subjects.","Ganesh Kumar, who topped Class XII boards in humanities stream, stumbled over queries posed by the media on music, in which he scored 65 out of 70 in practicals.",The 24-year-old Kumar appeared for the board exams at Ramnandan Singh Jagdip Narayan High school in Samastipur's Chhakhabib village and scored 82.6 per cent.,"Several science stream students told the media that they appeared in JEE Advance, conducted for admission into IITs, but scored as low as 1, 2 or 4 in subjects like physics and maths in the board exams.","Meanwhile, a large number of students, who failed the exams, protested outside the BSEB's office today, prompting the police to resort to lathicharge."
French Open: Murray set up French Open blockbuster with Del Potro,http://timesofindia.indiatimes.com/sports/tennis/french-open-2017/murray-set-up-french-open-blockbuster-with-del-potro/articleshow/58950233.cms,"World number one Andy Murray set up a French Open blockbuster against Juan Martin del Potro on Thursday, the latest chapter in what has developed into an epic rivalry.","Out on Suzanne Lenglen court, world number 50 Klizan smashed 57 winners but 67 unforced errors as his all-or-nothing game proved in vain against top seed Murray.","Japanese eighth seed Kei Nishikori routed France's Jeremy Chardy 6-3, 6-0, 7-6 (7/5) and set up a rare all-Asian clash with South Korean Hyeon Chung.","Unseeded 21-year-old Karen Khachanov of Russia continued his impressive debut, beating Czech 13th seed Tomas Berdych, a semi-finalist seven years ago, 7-5, 6-4, 6-4.","Czech second seed Karolina Pliskova and third-seeded Simona Halep of Romania, both firm women's title favourites after the first round exit of world number one Angelique Kerber, look for places in the last 32."
"World Table Tennis Championships: Mouma-Manika make history at World TT Championships, enter quarters",http://timesofindia.indiatimes.com/sports/more-sports/others/mouma-manika-make-history-at-world-tt-championships-enter-quarters/articleshow/58949684.cms,Manika Batra and Mouma Das made history by becoming the first Indian pair to reach the quarterfinals of the World Table Tennis Championships on Thursday.,"In the men's singles, top-ranked Indian Sharath Kamal stormed into the round of 32 beating Ukraine's Kou Lei in straight games of 11-3, 11-9, 14-12, 11-3.","1 and 2 Chinese players, Ding Ning and Liu Shiwen on Friday in the quarterfinals, a lethal left and right combination.","But that was all he could do as Sharath, running into a nice rhythm, simply ran past his rival in quick time to advance.","In the women's singles Manika had a tough match against Korean Kim Kyungah, seeded 27 and ranked 46 in the world, in the round of 64."
Sushma Swaraj: Sushma Swaraj assures medical visa to ailing Pak infant,http://timesofindia.indiatimes.com/india/sushma-swaraj-assures-medical-visa-to-ailing-pak-infant/articleshow/58949747.cms,Tensions between India and Pakistan may be escalating but that has not stopped Union external affairs minister Sushma Swaraj from helping a father bring his two-and-a-half-year-old baby to India for treatment.,"He does not even know what is happening between India and Pakistan,"" Ken tweeted to drive home the point that an innocent child should not be deprived of treatment.","We will give the medical visa.... https://t.co/fisynGXD9F â Sushma Swaraj (@SushmaSwaraj) 1496252081000  On Thursday, Sushma Swaraj reacted to the plea sharing a picture of the child saying: ""No, This child will not suffer.",â Ken Sid (@KenSid2) 1496298361000  Sushma Swaraj's Twitter was inundated with compliments and appreciation at to her response.,"God bless everyone,"" the child's father Ken Sid tweeted after a large number of Indians urged Swaraj to consider his plea."
Thailand Open Grand Prix Gold: Saina Nehwal storms into Thailand Open quarterfinals,http://timesofindia.indiatimes.com/sports/badminton/saina-nehwal-storms-into-thailand-open-quarterfinals/articleshow/58949560.cms,Star shuttler Saina Nehwal and Singapore Open champion Sai Praneeth eased into the quarterfinals of the Thailand Open Grand Prix Gold in Bangkok on Thursday.,"Sourabh lost to Brice Leverdez of France 16-21, 25-23, 11-21, Uttejitha went down to local girl Pattarasuda Chaiwan 15-21, 17-21 and Prajakta and her partner were trounced by top seeds Dechapol Puavaranukroh and Sapsiree Taerattanachai 10-21, 9-21.",The Japanese qualifier may not pose much problem for Saina and the Indian ace is likely to face a tough opponent only in the semifinals.,"Sarma, a cabinet minister in Assam, will replace former BAI president Akhilesh Das Gupta, who passed away recently.",His selection shows how important India is considered in the global badminton circuit and only underlines BAI's commitment towards taking the sport to unprecedented heights.
"Russia reaffirms 'strong support' for India's NSG bid, UNSC seat",http://timesofindia.indiatimes.com/india/russia-reaffirms-strong-support-for-indias-nsg-bid-unsc-seat/articleshow/58949378.cms,"Russia on Thursday reaffirmed its ""strong support"" to India's candidature for a permanent seat in the reformed UN Security Council and a membership in the Nuclear Supplier Group and other non-proliferation regimes.","In the summit, the two sides, in an obvious reference to China's One Belt One Road (OBOR) project, said they oppose any recourse to ""unilateralism or lack of respect to sovereignty"" and ignoring the core concerns and legitimate interests of the countries.","Touted as Chinese President Xi Jinping's pet project, the OBOR initiative focuses on improving connectivity and cooperation among Asian countries, Africa, China and Europe.","""We will continue facilitating efforts to build an open, well-balanced and inclusive security architecture in the Asia- Pacific region based on shared principles and taking into account the legitimate interests of all states, including through the development of relevant dialogue in the framework of the East Asia Summit,"" the vision document said.","The two sides also resolved to further their cooperation on challenging issues like restoration of pace and stability in the Middle East and North Africa, settlement of the Syrian crisis, achievement of national reconciliation in Afghanistan."
Huda: HUDA renamed due to its resemblance with former Haryana CM Hooda,http://timesofindia.indiatimes.com/india/huda-renamed-due-to-its-resemblance-with-former-haryana-cm-hooda/articleshow/58949282.cms,The Haryana BJP government on Thursday renamed the Haryana Urban Development Authority (HUDA) to Haryana Shehri Vikas Pradhikaran (HSVP) because the acronym HUDA sounded similar to the last name of former chief minister of the state Bhupinder Singh Hooda.,Minister of state for social justice and empowerment Krishan Kumar Bedi also confirmed that the cabinet has decided to rename HUDA to HSVP.,"When contacted, former chief minister Hooda termed the BJP government's decision as ridiculous.","In April last year, the Haryana BJP government also renamed Gurgaon to Gurugram and Mewat to Nuh.",The authority was constituted for the development of urban areas across Haryana by acquiring undeveloped land.
Maruti shares weak despite solid May sales,http://economictimes.indiatimes.com/markets/stocks/news/maruti-shares-weak-despite-solid-may-sales-other-auto-stocks-mixed/articleshow/58943367.cms,"of majors such as , , & Mahindra (M&M) and traded mixed after they announced sales data for May, 2017.",The scrip was trading 3.07 per cent down at Rs 91.6 around 1:55 PM (IST).,", the two-wheeler division of Eicher Motors, reported a 24.87 per cent jump in sales at 60,696 units in May.","The stock of the company, however, was trading 1.01 per cent down at Rs 7,142.10 on Thursday afternoon.","The BSE Auto index was up 0.32 per cent at 24,238 in afternoon trade."
Why #BoycottMakeMyTrip is trending on Twitter,http://economictimes.indiatimes.com/small-biz/startups/why-boycottmakemytrip-is-trending-on-twitter/articleshow/58942121.cms,"As the debate around the ban on the sale of cattle for slaughter simmers, co-founder of travel portal was trolled on as he took to the micro-blogging site to voice his disapproval over the prohibition.","In another tweet, Joshi further added that although he has been a vegetarian, he would now eat beef in India to support freedom for food.","His tweets, however, became the target of online vitriol as people called for a boycott of the brand in protest.","In an encore of what happened with following co-founder 's 'poor' remarks on India, some users of MakeMyTrip are uninstalling the company's app on their phones or giving it negative reviews.","'MakeMyTrip is a responsible corporate citizen with very high regard and respect for the laws of the land and the esteemed government of India,' it further said in a statement."
What to do when downgrades hit your MF schemes,http://economictimes.indiatimes.com/mf/analysis/what-to-do-when-downgrades-hit-your-mutual-fund-schemes/articleshow/58943073.cms,Several schemes suffered mark-to-market loses recently after the of perpetual issued by by rating agencies.,JP Morgan Mutual Fund faced rough weather after the downgrade of bonds issued by Amtek Auto.,"Investors should wait for the company to come up with a plan,” says Deepali Sen, Founder, Srujan Financial Planners.",Deepali Sen also believes that investors should try to find how much exposure the scheme has to downgraded instruments.,"Puneet Oberoi, Founder, Excellent Investment Advisorz, believes it depends on the AMC and the promoter."
Depressed by GDP growth data? Here’s the silver lining for you,http://economictimes.indiatimes.com/markets/stocks/news/depressed-by-gdp-growth-data-heres-the-silver-lining/articleshow/58942756.cms,"The growth print for March quarter came in at 6.1 per cent, dragging India behind China in the GDP race.","While private consumption grew at the slowest pace in five quarters, investments declined for the first time in three years,” said Nikhil Gupta, Chief Economist at Securities.","“With fiscal policy reaching its limits and external sector likely to deteriorate this year, we do not expect real GDP growth to pick up meaningfully in FY18,” Gupta said.",Brokerage ICICI Securities believes the multi-quarter low economic growth may nudge RBI to cut rates in its forthcoming money policy review.,"Edelweiss Securities said “RBI should soften its monetary stance as an anticipated rebound in activity in March quarter has not materialised, credit growth remains sluggish and inflation has been surprising on the downside.”   Abheek Barua, Chief Economist at , said while his bank does not expect RBI to reverse its neutral money policy stance based on just Q4 growth data, the MPC is likely to take note of the distinct slowdown and sound less hawkish in its commentary in the forthcoming policy meeting on June 7."
Getting vertigo over high stock prices? Charles Dow can help,http://economictimes.indiatimes.com/markets/stocks/news/getting-vertigo-over-high-stock-prices-charles-dow-can-help/articleshow/58942826.cms,"With domestic equity indices ruling at all-time high levels, investors are in two mind should they buy more or book profits before correction sets in.","If you are among those getting sleepless nights over the vertigo and talk of an imminent correction, a look at Charles Dow’s 50 per cent principle should help.","However in the subsequent years, the index lost about 2,294 points to hit a low of 6,825 in February 2016, which was exactly 50 per cent of the previous bounce.","If the index retains this level and Dow’s 50 per cent principle does work, the bullish argument may still stay intact.","A look at the long-term charts of the shows irrespective of short-term hurdles, the market trend has to be upward given the inherent growth opportunity in the domestic ."
"FIIs still bullish; invest Rs 7,700 crore in May",http://economictimes.indiatimes.com/markets/stocks/news/fiis-remain-bullish-invest-over-rs-7700-crore-in-may/articleshow/58942136.cms,Foreign portfolio investors (FPI) stood net buyers in domestic equity markets for a fourth straight month in May.,"Overall, sentiment remained resilient throughout the month as the 30-share BSE and NSE scaled new high.","However, they sold worth Rs 1,177 crore in January this year, as per data available with depository NSDL.","On the robust inflows by in May, Himanshu Srivastava, Senior Analyst Manager Research, Morningstar Advisers India in a chat with ETNow said, “FIIs were selling into Indian equities during the initial few days of May but the trend changed in the second week of the month that was largely because of the opinion on the government and the stability that they have brought into the Indian economy.","Sustained inflows by FIIs are likely to continue going forward as well especially for the remaining of the year of 2017,” he said."
Ramachandra Guha resigns as BCCI administrator,http://economictimes.indiatimes.com/news/sports/ramachandra-guha-resigns-as-bcci-administrator/articleshow/58940831.cms,"Historian , appointed by the Supreme Court as one of the four of , today informed the court that he had resigned from the post due to personal reasons.","The court said a special bench was seized of the matter and the petition should, therefore, be filed in the registry.","Advocate Rakesh Sinha, who mentioned the matter before the bench, said he had filed the petition to inform the court about Guha's decision to as the main matter would be coming up for hearing in July.",The apex court had on January 30 appointed a four-member committee of administrators headed by former Comptroller and Auditor General Vinod Rai to run the affairs of BCCI and implement court-approved recommendations of the Justice R M Lodha panel on reforms in the cash-rich cricket body.,"Vikram Limaye, Managing Director of Infrastructure Development Finance Company (IDFC), and former Indian women cricket captain Diana Edulji were the other administrators appointed by the Supreme Court."
New lexicon of Indian cities: Venkaiah Naidu,http://economictimes.indiatimes.com/news/economy/infrastructure/new-lexicon-of-indian-cities-venkaiah-naidu/articleshow/58940205.cms,"When the of the sleepy town of Jhunjhunu in with a population of 1,18,473 woke up to the need to find out where it stands on revenue collection and resource management, the best way was to get its credit rating done.",About 20 cities are now gearing up to issue municipal bonds to mobilise resources for their infrastructure development initiatives under new urban missions launched during the last two years.,"AMRUT and chosen smart cities account for over 70% of the country's urban population and are now pursuing well documented and comprehensive infrastructure development action plans, ending the project based and ad hoc approach followed till recently .",This Team India approach has resulted in approving an investment of about Rs 4.50 lakh crore for improving urban infrastructure in a short time.,"These are: `trust and verify' approach under which birth and death certificates, permits for low risk construction and mutations are first issued and later verified; making land titling laws to end uncertainty about property titles; credit rating necessary for mobilisation of resources through municipal bonds; value capture financing to finance urban infra projects by capturing a share of increase in the value of assets further to public investment and professionalisation of municipal cadres through induction of technical talent necessary for effective urban planning."
Banks can check 3-year history of borrowers,http://economictimes.indiatimes.com/industry/banking/finance/banking/banks-can-check-3-year-history-of-borrowers/articleshow/58940405.cms,Banks are now armed with more information than ever before on cardholders.,"""Several banks are testing the solution by doing a retro analysis before they introduce it in their credit appraisal system,"" said Harshala Chandorkar, chief operating officer, TU-CIBIL.","While lenders have been relying on analytics to provide automated loans, they had only the customer's history with the to fall back on.","According to Rakesh Bhatt, chief operating officer, Bajaj Finance, the new solution will help map the credit evolution of the consumer and would have use case in underwriting and exposure management strategies.","""By using CreditVision, we hope to penetrate a much larger customer base, thus significantly increasing our retail outreach,"" said Bhatt."
Finding a 'bakra' for Air India may not be easy: Ashok Gajapathi Raju,http://economictimes.indiatimes.com/industry/transportation/airlines-/-aviation/finding-a-bakra-for-air-india-may-not-be-easy-ashok-gajapathi-raju/articleshow/58940134.cms,"Finance minister Arun Jaitley and Niti Aayog may be in favour of in loss-ridden , but finding a """", or a strategic , may not be easy , civil aviation minister said on Wednesday.",Raju has always maintained that AI's financials are bad and questioned who will buy it in the current form.,The earlier (UPA) government's plans for financial restructuring and turnaround have not yielded the desired result.,"""   Several AI insiders feel the best option for the national carrier could be returning to the fold of founder Tata, especially as Tata-Singapore Airlines (which had in 2000 bid for stand-alone AI) JV airline Vistara is preparing to start long overseas routes.","I am not doing any speculation as of now .These airlines which you talked about, European basically , which were owned by the governments and these are facts, they have sold out and generally others have bought shares in it and they are going ahead."
We have shown ability to take tough decisions: Arun Jaitley,http://economictimes.indiatimes.com/news/economy/policy/we-have-shown-ability-to-take-tough-decisions-arun-jaitley/articleshow/58941491.cms,"Briefing the media today, Finance Minister outlined the achievements of the government in the last three years, while also speaking on various aspects of the Indian .",""" Looking ahead to the planned launch of a new Goods and Services Tax (GST) from July 1, Jaitley said the government was ""in a state of preparedness"" for the rollout.","""   Aimed at removing the parallel or shadow economy, the demonetisation drive taken up by the government in November 2016 had three distinct benefits, Finance Minister Arun Jaitley said here on Thursday.","Firstly, there is greater movement towards digitisation, tax payers' base has increased and a message has gone loud and clear that it is no longer safe to deal in cash,"".","• 3 benefits of DeMonetisation : increase in cashless, taxpayer base & message its not safe to have cash transactions."
India needs to beat Bahamas for Moody's upgrade!,http://economictimes.indiatimes.com/news/economy/indicators/indias-debt-remains-significantly-high-higher-than-bahamas-and-south-africa-says-moodys/articleshow/58941399.cms,"India's debt level is ""significantly"" higher compared with similarly rated countries, Moody’s Investor Service said, firing a fresh salvo at Prime Minister Narendra Modi’s government, which has been trying hard to earn a sovereign upgrade.","""We view ongoing central government deficit reduction as supportive of India’s credit profile,” Moody’s said in a note.","Moody’s was upbeat about India’s move to adopt a unified tax code for goods and services, scheduled to be implemented on July 1.","""Over the medium term, goods and services tax will contribute to productivity gains and higher GDP growth by improving ease of doing business, unifying markets and will enhance India’s attractiveness as a foreign investment destination.","Nevertheless, the high levels of bad loans in the banking system were a key risk to growth, Moody’s said, adding India would need to resolve it to kickstart the investment cycle."
"Ahead of GST rollout, banks in an IT fix ",http://economictimes.indiatimes.com/industry/banking/finance/banking/ahead-of-gst-rollout-banks-struggle-with-it-woes/articleshow/58935274.cms,Banks that had hoped the government would allow them centralised registration under the goods and services tax (GST) appear to have been caught unaware.,"Some of the bigger private and multinational banks started modifying their frontend about four months ago and expect to be ready by July 1, when the new tax regime is set to be rolled out.","Many banks had hoped the government would allow centralised registration, which would enable them to continue with their existing IT systems, according to people familiar with their plans.","“The key challenges involved in the implementation have been the state-wise, real-time determination and computation of tax liability at transaction level and building infrastructure and capability to generate huge volume of invoices and multiple reporting across states.","Having started the work of GST implementation in 2016 itself, we have been able to handle these challenges in time,” said Jairam Sridharan, CFO of Axis Bank."
Rajasthan Judge says peacock is 'celibate',http://economictimes.indiatimes.com/news/politics-and-nation/peacock-is-the-national-bird-as-it-never-has-sex-with-peahen-says-rajasthan-high-court-judge/articleshow/58939974.cms,judge said on Wednesday that a does not mate with a to procreate and it was because of this “quality“ that it was declared India's national bird.,"Earlier on Wednesday, his last day in office, Sharma had observed while disposing of a petition that cow should be declared the national animal.",Ye kabhi bhi morni ke saath nahi karta.,"Iske jo aansu aate hain, morni usey chug kar garbhvati hoti hai, mor ya morni ko janm deti hai,“ he said at a function to mark his last day in office.","Elaborating on how peacock is considered holy because of its so-called celibacy, Sharma said: “Mor ka pankh bhi bhagwan Krishna ne isi liye lagaya."
It's over and out for baggage tags at airports,http://economictimes.indiatimes.com/industry/transportation/airlines-/-aviation/bureau-of-civil-aviation-security-backs-cisf-orders-abolition-of-baggage-tags/articleshow/58935717.cms,The Bureau of Civil Aviation Security (BCAS) on Wednesday saved (CISF) the blushes by issuing a last-minute order that would abolish the practice of cabin-baggage tagging at six of India’s large airports.,"The CISF Director General O P Singh had announced the abolition earlier this week, but the order could not be implemented until a direction came from the BCAS.","The rule was amended earlier for seven airports, where abolition of cabin tag was announced first by BCAS in February and implemented by CISF from April.","During the first phase, when BCAS had announced the abolition of cabin at 6 major airports in the country, CISF had blocked the move and not implemented it.","On February 23 this year, BCAS had moved to scrap stamping of hand baggage at airports in Delhi, Mumbai, Bengaluru, Hyderabad, Kolkata, Kochi and Ahmedabad, but it was put on hold after CISF argued there wasn’t sufficient technology in place to replace the process."
"India Inc's top line up, but margins take a hit ",http://economictimes.indiatimes.com/markets/stocks/news/india-incs-top-line-grows-but-margins-take-a-hit-on-expenses/articleshow/58935663.cms,reported steady progress in and growth for the March 2017 quarter albeit with marginal pressure on operating profitability.,The ET Intelligence Group had estimated a similar trend in revenue and net profit for a sample of Nifty 50 companies at the beginning of the results season in April.,"YES Securities’ Shankar expects a doubledigit growth for FY18 considering the government’s pro-reform focus, low interest rates, reviving rural consumption and the 7th Pay Commission payouts.","Sectors including automobiles, fast moving consumer goods (FMCG), and metals showed buoyant performance whereas information technology (IT), pharmaceuticals, and telecoms were subdued.","In addition, stressed sectors including banking, capital goods, and power continued to report subdued performance."
India to be 3rd largest buyer of passenger planes,http://economictimes.indiatimes.com/industry/transportation/airlines-/-aviation/with-1080-aircraft-orders-india-to-be-3rd-largest-buyer-of-passenger-planes/articleshow/58939774.cms,"With over 1,000 aircraft set to be on order, India is poised to become the third-largest buyer of commercial in the world, with only the US and China ahead of it.","""In addition to the incumbent carriers, it is possible that India might see the entry of 1-2 new large start-ups, including Qatar Airways' proposed venture.",The CAPA report pointed out that airport infrastructure challenges could constrain growth and lead to sub-optimal operations and network economics.,"Signs of congestion are already emerging at Mumbai, Chennai and Delhi and the situation will become more acute unless airports are able to construct 400 parking bays and enhance airside capacity within five years.","""The projected industry growth rates will heighten safety risks due to the regulator being overstretched."
"Why Ola, Uber are dialling drivers in their 20s ",http://economictimes.indiatimes.com/small-biz/startups/undettered-by-high-attrition-rate-ola-and-uber-banking-on-drivers-in-their-20s/articleshow/58935423.cms,"A large number of taxi drivers have quit and and not many new ones are signing up, but that might be a good thing.",They are more prepared to work longer hours for lower wages in the pursuit of owning a car in the long run.,"Several of his friends, he said, have returned to working with other taxi companies, independent outdoor rental services, or as full-time domestic drivers.","For Ola and Uber, though, demand continues to increase as customers remain hooked to the ease of tapping their mobile phones to haul a cab.","""   An Ola executive, speaking on condition of anonymity, said the driver exits and fewer registrations have not had much impact on the company."
New job? Here's a fix for your Form 16 troubles,http://economictimes.indiatimes.com/wealth/tax/switched-jobs-heres-how-to-deal-with-form-16/articleshow/58908945.cms,Anytime soon the employees would be handed by their employers.,"Archit Gupta, Founder & CEO ClearTax.com explains how to consolidate the figures when one has more than one Form 16.","First, He can get details of the breakup of the salary and TDS deducted from the payslips received from the employer.","Although it is mandatory for the employer to issue the Form 16, one may still file the income tax return.","It's therefore better, depending on the complexity of your case, to get in touch with a chartered accountant who can help you navigate through the tax maze."
Can Modi crack the nuclear code with Russia?,http://economictimes.indiatimes.com/news/politics-and-nation/all-eyes-on-nuclear-power-deal-as-pm-narendra-modi-lands-in-russia/articleshow/58939868.cms,ST. PETERSBURG (RUSSIA) Prime Minister and Russian President meet today for an annual summit the highlight of which is expected to be the signing of an agreement to build the last two units of the Kundankulam nuclear power plant with Moscow's help.,"The two countries are also expected to sign a number of other agreements in wide-ranging sectors, including in science and technology, railways, cultural exchanges and other business areas between private parties also, in addition to a ""vision statement"" that the two leaders will release.","The prime minister last night arrived in the Russian city of St Petersburg, the former capital of Imperial Russia that was founded by Czar Peter the Great in 1703, and was also known as Petrograd and Leningrad, on a three-day visit.","Modi will then be received by Putin at the Konstantin Palace, a sprawling regal complex that is also the Russian president's official residence where he hosts world leaders.","Ahead of his arrival, Modi wrote an article in Russian newspaper Rossiyskaya Gazetta in which he said India and Russia are ""natural partners"" in fighting terrorism and asserted that ties between the two nations have ""withstood the test of time."
How Hindalco is boosting Modi's Make in India,http://economictimes.indiatimes.com/markets/stocks/news/heres-how-hindalco-is-giving-a-boost-to-modis-make-in-india-scheme/articleshow/58941826.cms,"Industries, India’s biggest producer of aluminum, is planning to invest 50 billion rupees ($773 million) in the next five years to boost its capacity to make processed products such as panels as the country accelerates in building infrastructure.","Prime Minister Narendra Modi’s promise to boost investment in developing Asia’s third-largest economy’s power, housing and transportation sectors has led to a record metal production in the country.","Earlier this week, Hindalco reported its fifth straight quarterly profit in the three months to March 31 boosted by record volumes and higher prices on the London Metal Exchange.","Along with expanding in India, the company’s Atlanta-based unit ., which is the world’s largest producer of rolled aluminum products, is also planning a big push in the automotive sector, said Pai, who took over the top position in the company last August.","“We have a deleveraged balance sheet and the company is healthy enough to take advantage of any growth opportunities that present themselves,” he said, when asked about acquisition plans by Novelis."
